from_id,to_id,travel_time
12,949.0,7
12,950.0,6
12,951.0,8
12,952.0,4
12,953.0,8
12,954.0,5
12,955.0,8
12,956.0,9
12,957.0,9
12,958.0,7
12,959.0,7
12,960.0,4
12,961.0,5
12,962.0,9
12,963.0,10
12,964.0,11
12,965.0,8
12,966.0,8
12,967.0,10
12,968.0,9
12,969.0,9
12,970.0,10
12,971.0,11
12,972.0,11
12,973.0,12
12,974.0,9
12,975.0,11
12,976.0,11
12,977.0,8
12,978.0,9
12,979.0,11
12,980.0,11
12,981.0,10
12,982.0,19
12,983.0,14
12,984.0,12
12,985.0,14
12,986.0,14
12,987.0,15
12,988.0,11
12,989.0,11
12,990.0,14
12,991.0,18
12,992.0,6
12,993.0,9
12,994.0,10
12,995.0,8
12,996.0,9
12,997.0,16
12,998.0,14
12,999.0,13
12,1000.0,28
12,1001.0,27
12,1002.0,29
12,1003.0,26
12,1004.0,26
12,1005.0,30
12,1006.0,27
12,1007.0,26
12,1008.0,26
12,1009.0,29
12,1010.0,32
12,1011.0,28
12,1012.0,30
12,1013.0,27
12,1014.0,25
12,1015.0,26
12,1016.0,27
12,1017.0,24
12,1018.0,27
12,1019.0,32
12,1020.0,22
12,1021.0,18
12,1022.0,15
12,1023.0,20
12,1024.0,19
12,1025.0,16
12,1026.0,23
12,1027.0,31
12,1028.0,11
12,1029.0,17
12,1030.0,12
12,1031.0,17
12,1032.0,14
12,1033.0,21
12,1034.0,28
12,1035.0,24
12,1036.0,20
12,1037.0,18
12,1038.0,13
12,1039.0,11
12,1040.0,17
12,1041.0,14
12,1042.0,15
12,1043.0,13
12,1044.0,15
12,1045.0,16
12,1046.0,14
12,1047.0,25
12,1048.0,28
12,1049.0,26
12,1050.0,25
12,1051.0,31
12,1052.0,27
12,1053.0,26
12,1054.0,24
12,1055.0,18
12,1056.0,18
12,1057.0,20
12,1058.0,21
12,1059.0,24
12,1060.0,22
12,1061.0,21
12,1062.0,17
12,1063.0,22
12,1064.0,21
12,1065.0,24
12,1066.0,17
12,1067.0,28
12,1068.0,18
12,1069.0,25
12,1070.0,37
12,1071.0,26
12,1072.0,20
12,1073.0,28
12,1074.0,19
79,949.0,27
79,950.0,30
79,951.0,30
79,952.0,28
79,953.0,31
79,954.0,31
79,955.0,27
79,956.0,25
79,957.0,26
79,958.0,27
79,959.0,26
79,960.0,27
79,961.0,30
79,962.0,29
79,963.0,27
79,964.0,26
79,965.0,27
79,966.0,26
79,967.0,25
79,968.0,24
79,969.0,23
79,970.0,23
79,971.0,24
79,972.0,32
79,973.0,33
79,974.0,32
79,975.0,27
79,976.0,26
79,977.0,27
79,978.0,28
79,979.0,27
79,980.0,28
79,981.0,21
79,982.0,22
79,983.0,23
79,984.0,23
79,985.0,22
79,986.0,22
79,987.0,23
79,988.0,22
79,989.0,23
79,990.0,21
79,991.0,22
79,992.0,30
